Ticker,Start Date,End Date,Pietroski F-Score,Current Ratio,Liabilities to Equity Ratio,Debt Ratio,Quarterly Return
LBTYA,2017-08-07,2017-11-01,4.00000,0.51432,4.49201,0.66890,0.893567926160946
LBTYA,2017-11-01,2018-02-14,4.00000,0.47343,4.87765,0.68035,1.1375080697224016
LBTYA,2018-02-14,2018-05-08,6.00000,0.43465,8.00935,0.56780,0.9299091940976164
LBTYA,2018-05-08,2018-08-08,4.00000,0.33284,9.34866,0.72999,0.8632895941409825
LBTYA,2018-08-08,2018-11-07,7.00000,0.35769,10.72392,0.57114,0.9169317780134324
LBTYA,2018-11-07,2019-02-27,5.00000,0.35633,10.15592,0.55345,1.010023130300694
LBTYA,2019-02-27,2019-05-06,6.00000,0.40184,11.81335,0.56074,0.9961832061068703
LBTYA,2019-05-06,2019-08-08,7.00000,0.36139,12.88134,0.56215,1.0260536398467432
LBTYA,2019-08-08,2019-11-06,7.00000,0.39401,13.70755,0.55414,0.9585511575802839
LBTYA,2019-11-06,2020-02-13,6.00000,1.26393,2.60575,0.57031,0.8324892871055707
LBTYA,2020-02-13,2020-05-06,6.00000,1.22211,2.71602,0.57461,1.013102480112307
LC,2016-05-16,2016-08-09,5.00000,31.02614,4.66358,0.79494,1.2547945205479452
LC,2016-08-09,2016-11-09,2.00000,24.82889,4.69067,0.78542,1.2096069868995634
LC,2016-11-09,2017-02-28,4.00000,25.58803,4.74244,0.78818,1.0
LC,2017-02-28,2017-05-05,3.00000,20.08482,4.70076,0.77677,1.0595667870036103
LC,2017-05-05,2017-08-08,2.00000,22.19589,4.38052,0.77107,0.9965928449744463
LC,2017-08-08,2017-11-08,4.00000,19.98782,4.11107,0.75666,0.717948717948718
LC,2017-11-08,2018-02-22,3.00000,18.94374,3.75381,0.73964,0.9333333333333333
LC,2018-02-22,2018-05-09,2.00000,9.69348,4.00221,0.63669,0.7653061224489796
LC,2018-05-09,2018-08-08,4.00000,11.95382,3.65416,0.64084,1.3566666666666667
LC,2018-08-08,2018-11-07,2.00000,10.66089,3.51726,0.69037,0.9287469287469287
LCI,2013-09-12,2013-11-08,7.00000,3.50854,0.30233,0.03883,1.6426426426426428
LCI,2013-11-08,2014-02-07,4.00000,5.03757,0.20684,0.03647,1.349177330895795
LCI,2014-02-07,2014-05-09,7.00000,5.92460,0.15067,0.00497,0.9506775067750678
LCI,2014-05-09,2014-08-29,7.00000,6.36654,0.14229,0.00380,1.104618015963512
LCI,2014-08-29,2014-11-06,8.00000,5.65006,0.16287,0.00332,1.3778064516129032
LCI,2014-11-06,2015-02-09,7.00000,7.12037,0.12444,0.00296,0.9692826371979771
LCI,2015-02-09,2015-05-08,7.00000,7.73869,0.11618,0.00253,1.028792270531401
LCI,2015-11-05,2016-02-09,4.00000,9.94175,0.08192,0.00180,0.6374903175832689
LCI,2016-02-09,2016-05-10,3.00000,3.33694,2.18877,0.60506,0.7565816119886594
LCI,2016-05-10,2016-08-29,3.00000,3.40117,2.20053,0.60138,1.832441113490364
LCI,2016-08-29,2016-11-04,3.00000,1.99829,2.18152,0.60195,0.518550978673678
LCI,2016-11-04,2017-02-03,3.00000,2.06712,2.28592,0.60764,1.2253521126760563
LCI,2017-02-03,2017-05-05,4.00000,2.00034,2.26642,0.59641,0.9701149425287356
